|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|

|academy ruins|legendary|land|||||T: add {CC} to your mana pool.\{^UU}, T: put target artifact card from your graveyard on top of your library.|

|might weaver||creature||human wizard|&^^/&^|{^GG}|{^^}: target red or white creature gains trample until end of turn.|

|relic barrier||artifact||||{^^}|T: tap target artifact.|

|blessed wind||sorcery||||{^^^^^^^WWWW}|target player's life total becomes &^^^^^^^^^^^^^^^^^^^^.|

|mending hands||instant||||{WW}|prevent the next &^^^^ damage that would be dealt to target creature or player this turn.|

|nekrataal||creature||human assassin|&^^/&^|{^^BBBB}|first strike\when @ enters the battlefield, destroy target nonartifact, nonblack creature. that creature can't be regenerated.|

|elven rite||sorcery||||{^GG}|distribute two +&^/+&^ counters among one or two target creatures.|

|rabid rats||creature||rat|&^/&^|{^BB}|T: target blocking creature gets -&^/-&^ until end of turn.|

|shrapnel blast||instant||||{^RR}|as an additional cost to cast @, sacrifice an artifact.\@ deals &^^^^^ damage to target creature or player.|

|all hallow's eve||sorcery||||{^^BBBB}|exile @ with two % counters on it.\at the beginning of your upkeep, if @ is exiled with a % counter on it, remove a % counter from it. if there are no more % counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.\countertype % scream|

|mischievous quanar||creature||beast|&^^^/&^^^|{^^^^UU}|morph {^UUUU}\{^^^UUUU}: turn @ face down.\when @ is turned face up, copy target instant or sorcery spell. you may choose new targets for that copy.|

|tainted isle||land|||||T: add {CC} to your mana pool.\T: add {UU} or {BB} to your mana pool. activate this ability only if you control a swamp.|

|barbary apes||creature||ape|&^^/&^^|{^GG}||

|hunting drake||creature||drake|&^^/&^^|{^^^^UU}|flying\when @ enters the battlefield, put target red or green creature on top of its owner's library.|

|kulrath knight||creature||elemental knight|&^^^/&^^^|{^^^BRBR}|flying\wither\creatures your opponents control with counters on them can't attack or block.|

|pillage||sorcery||||{^RRRR}|destroy target artifact or land. it can't be regenerated.|

|laboratory maniac||creature||human wizard|&^^/&^^|{^^UU}|if you would draw a card while your library has no cards in it, you win the game instead.|

|foundry street denizen||creature||goblin warrior|&^/&^|{RR}|whenever another red creature enters the battlefield under your control, @ gets +&^/+& until end of turn.|

